Temporada;Rep;Subparcela;Tratamiento;Altura;Cosecha;Produccion_arbol
2020;1;Subparcela 2;Sin Fertirriego;.;Mitaca;79
2020;2;Subparcela 2;Sin Fertirriego;.;Mitaca;20
2020;3;Subparcela 2;Sin Fertirriego;.;Mitaca;26
2020;4;Subparcela 2;Sin Fertirriego;.;Mitaca;28
2020;5;Subparcela 2;Sin Fertirriego;.;Mitaca;25
2020;6;Subparcela 2;Sin Fertirriego;.;Mitaca;31
2020;7;Subparcela 2;Sin Fertirriego;.;Mitaca;47
2020;8;Subparcela 2;Sin Fertirriego;.;Mitaca;65
2020;9;Subparcela 2;Sin Fertirriego;.;Mitaca;41
2020;10;Subparcela 2;Sin Fertirriego;.;Mitaca;57
2020;1;Subparcela 2;Sin Fertirriego;.;Principal;80
2020;2;Subparcela 2;Sin Fertirriego;.;Principal;70
2020;3;Subparcela 2;Sin Fertirriego;.;Principal;64
2020;4;Subparcela 2;Sin Fertirriego;.;Principal;76
2020;5;Subparcela 2;Sin Fertirriego;.;Principal;65
2020;6;Subparcela 2;Sin Fertirriego;.;Principal;72
2020;7;Subparcela 2;Sin Fertirriego;.;Principal;56
2020;8;Subparcela 2;Sin Fertirriego;.;Principal;76
2020;9;Subparcela 2;Sin Fertirriego;.;Principal;51
2020;10;Subparcela 2;Sin Fertirriego;.;Principal;82
2020;1;Subparcela 1;Sin Fertirriego;.;Mitaca;20
2020;2;Subparcela 1;Sin Fertirriego;.;Mitaca;84
2020;3;Subparcela 1;Sin Fertirriego;.;Mitaca;48
2020;4;Subparcela 1;Sin Fertirriego;.;Mitaca;74
2020;5;Subparcela 1;Sin Fertirriego;.;Mitaca;47
2020;6;Subparcela 1;Sin Fertirriego;.;Mitaca;51
2020;7;Subparcela 1;Sin Fertirriego;.;Mitaca;43
2020;8;Subparcela 1;Sin Fertirriego;.;Mitaca;56
2020;9;Subparcela 1;Sin Fertirriego;.;Mitaca;36
2020;10;Subparcela 1;Sin Fertirriego;.;Mitaca;79
2020;1;Subparcela 1;Sin Fertirriego;.;Principal;70
2020;2;Subparcela 1;Sin Fertirriego;.;Principal;132
2020;3;Subparcela 1;Sin Fertirriego;.;Principal;51
2020;4;Subparcela 1;Sin Fertirriego;.;Principal;96
2020;5;Subparcela 1;Sin Fertirriego;.;Principal;96
2020;6;Subparcela 1;Sin Fertirriego;.;Principal;58
2020;7;Subparcela 1;Sin Fertirriego;.;Principal;67
2020;8;Subparcela 1;Sin Fertirriego;.;Principal;47
2020;9;Subparcela 1;Sin Fertirriego;.;Principal;69
2020;10;Subparcela 1;Sin Fertirriego;.;Principal;75
2021;1;Subparcela 2;Con Fertirriego;1737.310;Mitaca;61
2021;2;Subparcela 2;Con Fertirriego;1738.150;Mitaca;95.9
2021;3;Subparcela 2;Con Fertirriego;1738.440;Mitaca;75.6
2021;4;Subparcela 2;Con Fertirriego;1744.850;Mitaca;80.3
2021;5;Subparcela 2;Con Fertirriego;1748.910;Mitaca;85.1
2021;6;Subparcela 2;Con Fertirriego;1751.270;Mitaca;57.8
2021;7;Subparcela 2;Con Fertirriego;1755.540;Mitaca;77.5
